,props
0,"(0.23867595818815332, 0.5644599303135889)"
1,"(0.21700879765395895, 0.4604105571847507)"
2,"(0.29135338345864664, 0.4793233082706767)"
3,"(0.2315369261477046, 0.5548902195608783)"
4,"(0.2830188679245283, 0.5056603773584906)"
5,"(0.3110687022900763, 0.48091603053435117)"
6,
7,"(0.5009823182711198, 0.2593320235756385)"
8,"(0.1286231884057971, 0.6684782608695652)"
9,"(0.32545454545454544, 0.47454545454545455)"
10,"(0.11469534050179211, 0.6756272401433692)"
11,"(0.26272912423625255, 0.48879837067209775)"
12,"(0.20738137082601055, 0.4973637961335677)"
13,
14,"(0.1926163723916533, 0.5441412520064205)"
15,"(0.20333333333333334, 0.5633333333333334)"
16,"(0.2876404494382023, 0.46292134831460674)"
17,"(0.19291338582677164, 0.5669291338582677)"
18,"(0.23354564755838642, 0.5562632696390658)"
19,"(0.24008810572687225, 0.5704845814977973)"
20,"(0.3817829457364341, 0.42054263565891475)"
21,"(0.416195856873823, 0.3389830508474576)"
22,"(0.12473572938689217, 0.6744186046511628)"
23,
24,"(0.22265625, 0.541015625)"
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,"(0.2203023758099352, 0.572354211663067)"
37,"(0.2147239263803681, 0.5501022494887525)"
38,"(0.3017241379310345, 0.4810344827586207)"
39,
40,
41,"(0.23924268502581755, 0.576592082616179)"
42,"(0.3896321070234114, 0.3963210702341137)"
